Borough,Longitude,Latitude,LatinSpecies
Brooklyn,-73.970566,40.691686,SOPHORA JAPONICA
Brooklyn,-73.96513900000001,40.644981,ACER PLATANOIDES
Queens,-73.87681500000001,40.750205,ACER SACCHARUM
Queens,-73.80221800000001,40.795223,ACER SACCHARINUM
Brooklyn,-73.95678199999999,40.621297,ACER RUBRUM
Manhattan,-73.97483299999999,40.782837,PLATANUS ACERIFOLIA
Queens,-73.713264,40.748647,PLATANUS ACERIFOLIA
Queens,-73.791143,40.678701000000004,GINKGO BILOBA
Brooklyn,-73.93040500000001,40.689704,GLEDITSIA TRIACANTHOS
Queens,-73.773935,40.704258,ZELKOVA SERRATA
Staten Island,-74.19447199999999,40.537238,ACER RUBRUM
Brooklyn,-73.963101,40.633093,ACER PLATANOIDES
Queens,-73.827727,40.710607,AILANTHUS ALTISSIMA
Queens,1.0,1.0,ACER PLATANOIDES
Brooklyn,-73.965136,40.71338,PYRUS CALLERYANA
Queens,-73.797587,40.764982,PLATANUS ACERIFOLIA
Queens,-73.792918,40.715307,ACER PLATANOIDES
Staten Island,-74.10786,40.563105,ACER PLATANOIDES
Manhattan,-73.966364,40.765553000000004,PYRUS CALLERYANA
Queens,-73.74584499999999,40.697781,QUERCUS PALUSTRIS
Brooklyn,-73.944905,40.718928000000005,ACER PLATANOIDES
Staten Island,-74.23626999999999,40.528014,POPULUS DELTOIDES
Queens,-73.858935,40.695271000000005,ACER PLATANOIDES
Bronx,-73.83375,40.844159999999995,ACER SACCHARINUM
Brooklyn,-73.982466,40.635579,ACER PLATANOIDES
Queens,-73.733216,40.711180999999996,ACER PLATANOIDES
Queens,-73.847099,40.661097,PYRUS CALLERYANA
Manhattan,-73.962453,40.775566,PYRUS CALLERYANA
Staten Island,-74.131495,40.580746000000005,QUERCUS RUBRA
Queens,-73.785866,40.750243,PRUNUS SEROTINA
Queens,-73.773652,40.745298999999996,CRATAEGUS SPECIES
Queens,-73.90852,40.776264000000005,QUERCUS PALUSTRIS
Staten Island,-74.124785,40.605574,PLATANUS ACERIFOLIA
Staten Island,-74.176084,40.561191,ACER SACCHARINUM
Staten Island,-74.162177,40.539285,PLATANUS ACERIFOLIA
Brooklyn,-73.98912,40.639598,ACER PLATANOIDES
Queens,-73.8084,40.669693,ACER PLATANOIDES
Queens,-73.758041,40.661004,QUERCUS PALUSTRIS
Staten Island,-74.117041,40.563245,QUERCUS PALUSTRIS
Brooklyn,1.0,1.0,GLEDITSIA TRIACANTHOS
Brooklyn,-74.03824200000001,40.625164,QUERCUS PALUSTRIS
Brooklyn,-73.88923199999999,40.679453,TILIA CORDATA
Queens,-73.86078,40.686679999999996,PLATANUS ACERIFOLIA
Queens,-73.84569599999999,40.760202,TILIA CORDATA
Queens,-73.884493,40.750746,TILIA CORDATA
Queens,-73.84754000000001,40.681329999999996,PLANTING SITE
Staten Island,-74.135115,40.602499,PLANTING SITE
Queens,-73.808513,40.773832,PLATANUS ACERIFOLIA
Brooklyn,-73.928294,40.611721,ACER PLATANOIDES
Bronx,-73.862983,40.847190000000005,UNKNOWN DEAD TREES 
Queens,-73.88135600000001,40.749112,TILIA CORDATA
Brooklyn,-73.933398,40.674144,QUERCUS RUBRA
Queens,-73.756051,40.729637,ACER PLATANOIDES
Manhattan,-73.968836,40.752548,PLATANUS ACERIFOLIA
Queens,-73.704902,40.741456,GINKGO BILOBA
Bronx,-73.849685,40.896161,PYRUS CALLERYANA
Queens,-73.913074,40.759431,GLEDITSIA TRIACANTHOS
